Released,Model,Family,Discontinued,Future release,Source link
"January 09, 2001",Power Mac G4 Digital Audio,Power Macintosh,"July 18, 2001",false,https://en.wikipedia.org/wiki/Power_Mac_G4
"January 09, 2001",Apple Pro Speakers(minijack),Speakers,2004,false,https://en.wikipedia.org/wiki/Apple_speakers
"January 07, 2002","iBook (14"")",iBook,"October 22, 2003",false,https://en.wikipedia.org/wiki/IBook
"August 01, 2002",iPod (2nd gen),iPod Classic,"April 28, 2003",false,https://en.wikipedia.org/wiki/IPod_Classic
"January 07, 2003","PowerBook G4 Aluminum (17"")",PowerBook G4,"April 24, 2006",false,https://en.wikipedia.org/wiki/Aluminum_PowerBook_G4
"January 07, 2003",AirPort Extreme(1st generation)[4][5][6],AirPort Extreme,[?],false,https://en.wikipedia.org/wiki/AirPort_Extreme
"February 10, 2003",Xserve Cluster Node,Xserve,"January 6, 2004",false,https://en.wikipedia.org/wiki/Xserve
"February 10, 2003",Xserve RAID,Xserve,"February 19, 2008",false,https://en.wikipedia.org/wiki/Xserve
"January 06, 2004",iPod In-Ear Headphones,Headphones,"June 25, 2009",false,https://en.wikipedia.org/wiki/Apple_earbuds
"January 06, 2004",Xserve Cluster Node G5,Xserve,"August 7, 2006",false,https://en.wikipedia.org/wiki/Xserve
"June 28, 2004","Cinema Display (23"")",Displays,November 2008,false,https://en.wikipedia.org/wiki/Apple_displays
"June 28, 2004","Cinema Display (30"")",Displays,"July 27, 2010",false,https://en.wikipedia.org/wiki/Apple_displays
"August 31, 2004","iMac G5 20""",iMac,"March 20, 2006",false,https://en.wikipedia.org/wiki/IMac_G5
"January 11, 2005",iPod Shuffle(1st gen),iPod Shuffle,"September 12, 2006",false,https://en.wikipedia.org/wiki/IPod_Shuffle
"January 10, 2006",iPod Radio Remote,iPod accessories,"June 25, 2009",false,https://en.wikipedia.org/wiki/IPod
"February 28, 2006",Mac Mini Core Duo,Mac Mini,"August 7, 2007",false,https://en.wikipedia.org/wiki/Mac_Mini
"February 28, 2006",iPod Hi-Fi,Speakers,"September 5, 2007",false,https://en.wikipedia.org/wiki/IPod_Hi-Fi
"August 07, 2006",Xserve (Intel),Xserve,"January 8, 2008",false,https://en.wikipedia.org/wiki/Xserve
"June 29, 2007",iPhone (1st generation)(8 GB),iPhone,"July 11, 2008",false,https://en.wikipedia.org/wiki/IPhone_(1st_generation)
"June 29, 2007",iPhone Bluetooth Headset,Headphones,"March 23, 2009",false,https://en.wikipedia.org/wiki/Apple_headphones
"August 07, 2007",Mac Mini(Mid 2007),Mac Mini,"March 3, 2009",false,https://en.wikipedia.org/wiki/Mac_Mini
"August 07, 2007",Apple Wireless Keyboard(Aluminum),Keyboards,"October 13, 2015",false,https://en.wikipedia.org/wiki/Apple_Wireless_Keyboard
"August 07, 2007",Apple Keyboard with Numeric Keypad,Keyboards,"June 5, 2017",false,https://en.wikipedia.org/wiki/Apple_Keyboard
"August 07, 2007",Apple Mighty Mouse(revised),Pointing devices,"June 5, 2017",false,https://en.wikipedia.org/wiki/Apple_Mighty_Mouse
